".chain",".draw","min_dist","cvd_safe","min_deutan","min_protan","min_tritan","mean_chroma","lightness_spread","mean_L"
1,1,0.182572815156491,0.0353982755810654,0.0354172048618145,0.0984745675195702,0.14810378996257,0.141517191436659,0.727615521805161,0.648417678134644
1,2,0.229939801660028,0.0030096087208332,0.00299281530546745,0.0647186565578349,0.103843971780603,0.139118726048216,0.619494486496237,0.722462640822353
1,3,0.219749080627391,0.0254189210061408,0.0254759630620837,0.127170386672821,0.0371908633955647,0.148032337261076,0.711070979815215,0.714485443280352
1,4,0.129631361817044,0.0554713683489929,0.0555022953757867,0.112856543731864,0.0647632102917451,0.136813866072308,0.733279932408772,0.728332831914189
1,5,0.153404991716311,0.0214083420704983,0.0673656318419905,0.0214279966033482,0.142203221452226,0.119306994246398,0.83511690177529,0.654815720422397
1,6,0.121072800854607,0.0494131742268534,0.0846152025158803,0.10669290320949,0.0494194250689735,0.144186738394007,0.841019233329542,0.642466971436625
1,7,0.121072800854607,0.0494131742268534,0.0846152025158803,0.10669290320949,0.0494194250689735,0.144186738394007,0.841019233329542,0.642466971436625
1,8,0.121072800854607,0.0494131742268534,0.0846152025158803,0.10669290320949,0.0494194250689735,0.144186738394007,0.841019233329542,0.642466971436625
1,9,0.121072800854607,0.0494131742268534,0.0846152025158803,0.10669290320949,0.0494194250689735,0.144186738394007,0.841019233329542,0.642466971436625
1,10,0.237889785562728,0.0385489831315475,0.103645679517872,0.038558097233808,0.0469412614418728,0.157118138099783,0.688582713752945,0.692029889245988
1,11,0.255347756306075,0.080041060712209,0.0951782674296671,0.0801120353051256,0.125613581284905,0.15733191808918,0.784121675021986,0.675747388648338
1,12,0.231882860998184,0.0680520656215145,0.0679446124134844,0.0718954992993465,0.135787009041011,0.183580203725765,0.776454734579883,0.600448185401182
1,13,0.182811283821881,0.0409483629418122,0.0409344988177002,0.0409623357240982,0.161564879620105,0.136902186043,0.533539738644552,0.739761253634467
1,14,0.236334455272527,0.0435282967397279,0.043421546377742,0.0818195309758129,0.161202580676906,0.145735698813057,0.839382663019183,0.640234969683005
